75.42 71.65 71.71 72.22 71.93 72.43 72.25 72.18 72.51 72.74 72.41 72.86 71.95 72.01 71.80 74.85 
72.08 71.18 70.30 70.05 70.86 70.74 71.32 70.67 71.08 70.47 69.39 70.15 70.40 71.22 71.77 71.99 
72.76 71.49 68.97 69.61 68.89 68.66 68.89 68.73 69.48 68.74 68.87 69.09 69.07 69.40 70.18 72.10 
72.05 70.72 69.21 69.01 68.41 69.42 68.58 68.57 68.40 68.37 69.07 69.20 69.20 68.71 70.82 71.91 
72.72 70.18 68.84 68.85 68.69 68.30 68.66 68.65 68.80 68.83 68.37 69.52 68.02 68.59 70.44 72.57 
72.33 71.35 68.53 68.82 68.72 68.47 69.41 68.80 69.78 68.89 69.05 68.92 69.52 69.24 70.67 72.82 
72.72 70.42 68.44 68.80 69.41 68.42 69.28 68.55 68.82 68.83 68.85 68.91 69.22 69.62 70.17 72.27 
71.61 71.34 68.73 69.05 68.99 69.69 68.68 68.27 68.60 68.93 68.52 68.32 68.56 69.41 70.62 72.28 
72.27 71.04 68.18 69.23 68.38 68.79 68.44 68.60 68.77 69.12 68.33 68.40 68.91 68.27 70.44 72.15 
71.36 70.54 68.64 68.56 68.58 68.88 68.59 67.74 69.04 68.86 69.48 68.54 68.58 68.59 70.60 72.35 
72.51 70.45 68.72 69.33 69.07 68.07 68.03 68.97 69.26 68.61 68.17 68.35 68.42 68.30 71.07 72.32 
72.31 71.21 68.50 69.23 69.01 69.29 68.57 69.31 68.32 68.75 68.22 68.41 68.29 69.00 69.96 72.29 
72.34 70.12 68.97 68.41 68.95 69.02 69.04 68.20 68.47 68.83 68.45 68.55 68.79 68.63 71.04 72.77 
72.29 71.65 68.57 68.75 68.18 69.59 69.14 69.79 68.34 68.21 67.93 67.96 69.76 68.97 70.49 72.64 
71.12 71.55 69.67 70.41 69.74 71.68 70.68 69.31 70.13 70.21 71.03 70.29 69.81 70.78 70.51 71.15 
75.74 72.01 71.69 71.78 71.90 72.99 72.58 72.64 73.28 72.39 72.45 72.89 72.23 72.30 71.40 75.17 
